 0_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
        19          133              5       -1978.917725    -0.980780
        19          134              5       -1978.917725    -0.980780
        19          135              5       -1978.917725    -0.980780
        19          136              5       -1978.917847    -0.980780
        19          137              5       -1978.917969    -0.980780
        19          138              5       -1978.917969    -0.980780
        19          139              5       -1978.918091    -0.980780
        19          140              5       -1978.918213    -0.980780
        19          141              5       -1978.918213    -0.980780
        19          142              5       -1978.918457    -0.980780
        19          143              5       -1978.918335    -0.980780
        19          144              5       -1978.918457    -0.980780
        19          145              5       -1978.918457    -0.980780
        19          146              5       -1978.918579    -0.980780
        19          147              5       -1978.918579    -0.980780
        19          148              5       -1978.918579    -0.980780
        19          149              5       -1978.918701    -0.980780
        19          150              5       -1978.918701    -0.980780
        19          151              5       -1978.918701    -0.980780
        19          152              5       -1978.918701    -0.980780
        19          153              5       -1978.918823    -0.980780
        19          154              5       -1978.918823    -0.980780
        19          155              5       -1978.918823    -0.980780
        19          156              5       -1978.918701    -0.980780
        19          157              5       -1978.918823    -0.980780
        19          158              5       -1978.918945    -0.980780
        19          159              5       -1978.918945    -0.980780
        19          160              5       -1978.919067    -0.980780
        19          161              5       -1978.918823    -0.980780
        19          162              5       -1978.919067    -0.980780
        19          163              5       -1978.918945    -0.980780
        19          164              5       -1978.918945    -0.980780
        19          165              5       -1978.918823    -0.980780
        19          166              5       -1978.918945    -0.980780
        19          167              5       -1978.918945    -0.980780
        19          168              5       -1978.918945    -0.980780
        19          169              5       -1978.919189    -0.980780
        19          170              5       -1978.919067    -0.980780
        19          171              5       -1978.919189    -0.980780
        19          172              5       -1978.919067    -0.980780
        19          173              5       -1978.918945    -0.980780
        19          174              5       -1978.919067    -0.980780
        19          175              5       -1978.919189    -0.980780
        19          176              5       -1978.919067    -0.980780
        19          177              5       -1978.919067    -0.980780
        19          178              5       -1978.918945    -0.980780
        19          179              5       -1978.919189    -0.980780
        19          180              5       -1978.919067    -0.980780
        19          181              5       -1978.919189    -0.980780
        19          182              5       -1978.919067    -0.980780
        19          183              5       -1978.919189    -0.980780
        19          184              5       -1978.918945    -0.980780
        19          185              5       -1978.919189    -0.980780
