 4_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
 State of the saddle   Barrier energy   Reaction energy   Elapsed time
-----------------------------------------------------------------------
           Connected         0.263654         -0.049783      25.054435
-----------------------------------------------------------------------
 3_3
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
-----------------------------------------------------------------------
         0            0              0       -1979.443718   ----------
         1            0             22       -1979.405286     1.004366
         1            1             22       -1979.417268     1.004366
         2            0              3       -1979.326436     0.994452
         2            1              3       -1979.330003     0.994452
         3            0              3       -1979.164164     0.988832
         3            1              3       -1979.173820     0.988832
         4            0              3       -1978.937585     0.945998
         4            1              3       -1978.949211     0.945998
         5            0             30       -1978.634699     0.480955
         5            1             30       -1978.688150     0.480955
         6            0              9       -1978.299582     0.380601
         6            1              9       -1978.400171     0.380601
         7            0             17       -1978.396085    -0.002662
         7            1             17       -1978.650145    -0.002662
         8            0             12       -1978.632942    -0.048101
         9            0              7       -1978.609028    -0.116239
        10            0              7       -1978.578248    -0.236924
        10            1              7       -1978.866437    -0.236924
        10            2              7       -1979.061232    -0.236924
        10            3              7       -1979.185254    -0.236924
        10            4              7       -1979.260228    -0.236924
        10            5              7       -1979.304977    -0.236924
        10            6              7       -1979.322810    -0.236924
        10            7              7       -1979.336073    -0.236924
        11            0              9       -1979.290458     0.248616
        11            1              9       -1979.300520     0.248616
        12            0              4       -1979.203158     0.137280
        12            1              4       -1979.229447     0.137280
        13            0              6       -1979.100982     0.050332
        13            1              6       -1979.131615     0.050332
        14            0              6       -1978.965909     0.060966
        14            1              6       -1978.991280     0.060966
        15            0              6       -1978.958904    -0.098939
        15            1              6       -1979.050812    -0.098939
        16            0              6       -1979.017181    -0.149809
        16            1              6       -1979.058500    -0.149809
        16            2              6       -1979.087792    -0.149809
        17            0              6       -1979.062264    -0.521629
        18            0              5       -1979.057141    -1.564415
        18            1              5       -1979.119221    -1.564415
        18            2              5       -1979.158509    -1.564415
        18            3              5       -1979.207308    -1.564415
        18            4              5       -1979.215082    -1.564415
        18            5              5       -1979.234655    -1.564415
        18            6              5       -1979.255955    -1.564415
        18            7              5       -1979.270710    -1.564415
        18            8              5       -1979.277489    -1.564415
        18            9              5       -1979.279245    -1.564415
        18           10              5       -1979.280211    -1.564415
        18           11              5       -1979.280830    -1.564415
        18           12              5       -1979.281345    -1.564415
        18           13              5       -1979.281766    -1.564415
        18           14              5       -1979.282138    -1.564415
        18           15              5       -1979.282454    -1.564415
        18           16              5       -1979.282737    -1.564415
        18           17              5       -1979.282982    -1.564415
        18           18              5       -1979.283201    -1.564415
        18           19              5       -1979.283394    -1.564415
        18           20              5       -1979.283568    -1.564415
        19            0              5       -1979.282033    -0.780556
        19            1              5       -1979.282199    -0.780556
        19            2              5       -1979.282342    -0.780556
        19            3              5       -1979.282461    -0.780556
        20            0              4       -1979.281484    -2.164311
        20            1              4       -1979.281580    -2.164311
        20            2              4       -1979.281676    -2.164311
        20            3              4       -1979.281762    -2.164311
        20            4              4       -1979.281839    -2.164311
        20            5              4       -1979.281909    -2.164311
        20            6              4       -1979.281971    -2.164311
        20            7              4       -1979.282028    -2.164311
        20            8              4       -1979.282079    -2.164311
        20            9              4       -1979.282125    -2.164311
        20           10              4       -1979.282166    -2.164311
        20           11              4       -1979.282204    -2.164311
        20           12              4       -1979.282238    -2.164311
        20           13              4       -1979.282269    -2.164311
        20           14              4       -1979.282298    -2.164311
        20           15              4       -1979.282323    -2.164311
        20           16              4       -1979.282347    -2.164311
        20           17              4       -1979.282368    -2.164311
        20           18              4       -1979.282387    -2.164311
        20           19              4       -1979.282405    -2.164311
        20           20              4       -1979.282421    -2.164311
        20           21              4       -1979.282435    -2.164311
        20           22              4       -1979.282449    -2.164311
        20           23              4       -1979.282461    -2.164311
        20           24              4       -1979.282472    -2.164311
        20           25              4       -1979.282482    -2.164311
        20           26              4       -1979.282491    -2.164311
        20           27              4       -1979.282500    -2.164311
        20           28              4       -1979.282508    -2.164311
        20           29              4       -1979.282515    -2.164311
        20           30              4       -1979.282521    -2.164311
        20           31              4       -1979.282527    -2.164311
        20           32              4       -1979.282533    -2.164311
        20           33              4       -1979.282538    -2.164311
        20           34              4       -1979.282542    -2.164311
        20           35              4       -1979.282546    -2.164311
        20           36              4       -1979.282550    -2.164311
        20           37              4       -1979.282554    -2.164311
        20           38              4       -1979.282557    -2.164311
        20           39              4       -1979.282560    -2.164311
        20           40              4       -1979.282562    -2.164311
        20           41              4       -1979.282565    -2.164311
        20           42              4       -1979.282567    -2.164311
        20           43              4       -1979.282569    -2.164311
        20           44              4       -1979.282571    -2.164311
        20           45              4       -1979.282573    -2.164311
        20           46              4       -1979.282574    -2.164311
        20           47              4       -1979.282576    -2.164311
        20           48              4       -1979.282577    -2.164311
        20           49              4       -1979.282578    -2.164311
        20           50              4       -1979.282579    -2.164311
        20           51              4       -1979.282580    -2.164311
        20           52              4       -1979.282581    -2.164311
        20           53              4       -1979.282582    -2.164311
        20           54              4       -1979.282583    -2.164311
        20           55              4       -1979.282584    -2.164311
        21            0              4       -1979.282550   -13.852654
        21            1              4       -1979.284915   -13.852654
        21            2              4       -1979.286331   -13.852654
        21            3              4       -1979.287318   -13.852654
        21            4              4       -1979.288060   -13.852654
        21            5              4       -1979.288620   -13.852654
        21            6              4       -1979.289063   -13.852654
        21            7              4       -1979.289410   -13.852654
        21            8              4       -1979.289698   -13.852654
        21            9              4       -1979.289944   -13.852654
        21           10              4       -1979.290163   -13.852654
        21           11              4       -1979.290360   -13.852654
        21           12              4       -1979.290539   -13.852654
        21           13              4       -1979.290701   -13.852654
        21           14              4       -1979.290850   -13.852654
        21           15              4       -1979.290986   -13.852654
        21           16              4       -1979.291112   -13.852654
        21           17              4       -1979.291228   -13.852654
        21           18              4       -1979.291335   -13.852654
        22            0              7       -1979.290010    -1.114441
        22            1              7       -1979.290070    -1.114441
